group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 10,,,,,944754.0,ns,36
fibonacci 10,,,,,1772807.0,ns,72
fibonacci 10,,,,,2655644.0,ns,108
fibonacci 10,,,,,3867840.0,ns,144
fibonacci 10,,,,,4442623.0,ns,180
fibonacci 10,,,,,5653044.0,ns,216
fibonacci 10,,,,,6302908.0,ns,252
fibonacci 10,,,,,7843924.0,ns,288
fibonacci 10,,,,,8017819.0,ns,324
fibonacci 10,,,,,9042946.0,ns,360
fibonacci 10,,,,,9974886.0,ns,396
fibonacci 10,,,,,10774017.0,ns,432
fibonacci 10,,,,,12233176.0,ns,468
fibonacci 10,,,,,12845608.0,ns,504
fibonacci 10,,,,,15841684.0,ns,540
fibonacci 10,,,,,16820220.0,ns,576
fibonacci 10,,,,,16225975.0,ns,612
fibonacci 10,,,,,17222772.0,ns,648
fibonacci 10,,,,,18122301.0,ns,684
fibonacci 10,,,,,18499481.0,ns,720
fibonacci 10,,,,,20102633.0,ns,756
fibonacci 10,,,,,21048023.0,ns,792
fibonacci 10,,,,,22045325.0,ns,828
fibonacci 10,,,,,22718208.0,ns,864
fibonacci 10,,,,,23702589.0,ns,900
fibonacci 10,,,,,24659986.0,ns,936
fibonacci 10,,,,,24755602.0,ns,972
fibonacci 10,,,,,27254867.0,ns,1008
fibonacci 10,,,,,28881003.0,ns,1044
fibonacci 10,,,,,27597230.0,ns,1080
fibonacci 10,,,,,29462711.0,ns,1116
fibonacci 10,,,,,30991673.0,ns,1152
fibonacci 10,,,,,30613490.0,ns,1188
fibonacci 10,,,,,28580510.0,ns,1224
fibonacci 10,,,,,31860946.0,ns,1260
fibonacci 10,,,,,31701428.0,ns,1296
fibonacci 10,,,,,38438380.0,ns,1332
fibonacci 10,,,,,35726637.0,ns,1368
fibonacci 10,,,,,35675927.0,ns,1404
fibonacci 10,,,,,36611386.0,ns,1440
fibonacci 10,,,,,39344108.0,ns,1476
fibonacci 10,,,,,40486034.0,ns,1512
fibonacci 10,,,,,45337909.0,ns,1548
fibonacci 10,,,,,43949026.0,ns,1584
fibonacci 10,,,,,42268805.0,ns,1620
fibonacci 10,,,,,43931931.0,ns,1656
fibonacci 10,,,,,44418565.0,ns,1692
fibonacci 10,,,,,45890568.0,ns,1728
fibonacci 10,,,,,47198662.0,ns,1764
fibonacci 10,,,,,46680469.0,ns,1800
fibonacci 10,,,,,48403413.0,ns,1836
fibonacci 10,,,,,52360765.0,ns,1872
fibonacci 10,,,,,52969749.0,ns,1908
fibonacci 10,,,,,50547679.0,ns,1944
fibonacci 10,,,,,60436963.0,ns,1980
fibonacci 10,,,,,59548962.0,ns,2016
fibonacci 10,,,,,52033748.0,ns,2052
fibonacci 10,,,,,54797284.0,ns,2088
fibonacci 10,,,,,56088566.0,ns,2124
fibonacci 10,,,,,57012369.0,ns,2160
fibonacci 10,,,,,58045313.0,ns,2196
fibonacci 10,,,,,59232924.0,ns,2232
fibonacci 10,,,,,61348254.0,ns,2268
fibonacci 10,,,,,61051020.0,ns,2304
fibonacci 10,,,,,61444772.0,ns,2340
fibonacci 10,,,,,65834477.0,ns,2376
fibonacci 10,,,,,63411706.0,ns,2412
fibonacci 10,,,,,64507793.0,ns,2448
fibonacci 10,,,,,65002563.0,ns,2484
fibonacci 10,,,,,68103635.0,ns,2520
fibonacci 10,,,,,70033573.0,ns,2556
fibonacci 10,,,,,68091909.0,ns,2592
fibonacci 10,,,,,70953156.0,ns,2628
fibonacci 10,,,,,73378807.0,ns,2664
fibonacci 10,,,,,100898260.0,ns,2700
fibonacci 10,,,,,75283946.0,ns,2736
fibonacci 10,,,,,81183858.0,ns,2772
fibonacci 10,,,,,106260007.0,ns,2808
fibonacci 10,,,,,98331927.0,ns,2844
fibonacci 10,,,,,78983034.0,ns,2880
fibonacci 10,,,,,76217693.0,ns,2916
fibonacci 10,,,,,77050795.0,ns,2952
fibonacci 10,,,,,77103802.0,ns,2988
fibonacci 10,,,,,78705692.0,ns,3024
fibonacci 10,,,,,79384424.0,ns,3060
fibonacci 10,,,,,79821881.0,ns,3096
fibonacci 10,,,,,80346833.0,ns,3132
fibonacci 10,,,,,82699805.0,ns,3168
fibonacci 10,,,,,83153286.0,ns,3204
fibonacci 10,,,,,83229030.0,ns,3240
fibonacci 10,,,,,88732622.0,ns,3276
fibonacci 10,,,,,87747824.0,ns,3312
fibonacci 10,,,,,87248282.0,ns,3348
fibonacci 10,,,,,93402611.0,ns,3384
fibonacci 10,,,,,88995233.0,ns,3420
fibonacci 10,,,,,89956170.0,ns,3456
fibonacci 10,,,,,86926028.0,ns,3492
fibonacci 10,,,,,87766192.0,ns,3528
fibonacci 10,,,,,94799395.0,ns,3564
fibonacci 10,,,,,97780902.0,ns,3600
