group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 5,,,,,527754.0,ns,145
fibonacci 5,,,,,1067363.0,ns,290
fibonacci 5,,,,,1486176.0,ns,435
fibonacci 5,,,,,2175088.0,ns,580
fibonacci 5,,,,,3330563.0,ns,725
fibonacci 5,,,,,3103183.0,ns,870
fibonacci 5,,,,,3574650.0,ns,1015
fibonacci 5,,,,,4045700.0,ns,1160
fibonacci 5,,,,,5358305.0,ns,1305
fibonacci 5,,,,,5179516.0,ns,1450
fibonacci 5,,,,,6833796.0,ns,1595
fibonacci 5,,,,,6314408.0,ns,1740
fibonacci 5,,,,,6715994.0,ns,1885
fibonacci 5,,,,,7080372.0,ns,2030
fibonacci 5,,,,,7591845.0,ns,2175
fibonacci 5,,,,,8139019.0,ns,2320
fibonacci 5,,,,,9529158.0,ns,2465
fibonacci 5,,,,,9257430.0,ns,2610
fibonacci 5,,,,,9253240.0,ns,2755
fibonacci 5,,,,,9647300.0,ns,2900
fibonacci 5,,,,,11308345.0,ns,3045
fibonacci 5,,,,,11531073.0,ns,3190
fibonacci 5,,,,,11364159.0,ns,3335
fibonacci 5,,,,,11504231.0,ns,3480
fibonacci 5,,,,,13353042.0,ns,3625
fibonacci 5,,,,,13696819.0,ns,3770
fibonacci 5,,,,,13358569.0,ns,3915
fibonacci 5,,,,,15763087.0,ns,4060
fibonacci 5,,,,,14588754.0,ns,4205
fibonacci 5,,,,,15118038.0,ns,4350
fibonacci 5,,,,,16918825.0,ns,4495
fibonacci 5,,,,,16108728.0,ns,4640
fibonacci 5,,,,,19070929.0,ns,4785
fibonacci 5,,,,,16541871.0,ns,4930
fibonacci 5,,,,,18548152.0,ns,5075
fibonacci 5,,,,,17723309.0,ns,5220
fibonacci 5,,,,,18482026.0,ns,5365
fibonacci 5,,,,,19862482.0,ns,5510
fibonacci 5,,,,,19294443.0,ns,5655
fibonacci 5,,,,,21480120.0,ns,5800
fibonacci 5,,,,,20874585.0,ns,5945
fibonacci 5,,,,,22670812.0,ns,6090
fibonacci 5,,,,,22789609.0,ns,6235
fibonacci 5,,,,,22969177.0,ns,6380
fibonacci 5,,,,,25228480.0,ns,6525
fibonacci 5,,,,,23221498.0,ns,6670
fibonacci 5,,,,,24949675.0,ns,6815
fibonacci 5,,,,,24638129.0,ns,6960
fibonacci 5,,,,,27146893.0,ns,7105
fibonacci 5,,,,,28004167.0,ns,7250
fibonacci 5,,,,,28397023.0,ns,7395
fibonacci 5,,,,,27437325.0,ns,7540
fibonacci 5,,,,,28028006.0,ns,7685
fibonacci 5,,,,,28079770.0,ns,7830
fibonacci 5,,,,,30516631.0,ns,7975
fibonacci 5,,,,,31140416.0,ns,8120
fibonacci 5,,,,,30613252.0,ns,8265
fibonacci 5,,,,,29007006.0,ns,8410
fibonacci 5,,,,,32226818.0,ns,8555
fibonacci 5,,,,,32376890.0,ns,8700
fibonacci 5,,,,,32937465.0,ns,8845
fibonacci 5,,,,,33513954.0,ns,8990
fibonacci 5,,,,,32311205.0,ns,9135
fibonacci 5,,,,,34186487.0,ns,9280
fibonacci 5,,,,,33621792.0,ns,9425
fibonacci 5,,,,,35049566.0,ns,9570
fibonacci 5,,,,,35788696.0,ns,9715
fibonacci 5,,,,,35580802.0,ns,9860
fibonacci 5,,,,,37030876.0,ns,10005
fibonacci 5,,,,,36907991.0,ns,10150
fibonacci 5,,,,,37713810.0,ns,10295
fibonacci 5,,,,,37298656.0,ns,10440
fibonacci 5,,,,,39176435.0,ns,10585
fibonacci 5,,,,,37919366.0,ns,10730
fibonacci 5,,,,,38489608.0,ns,10875
fibonacci 5,,,,,41348096.0,ns,11020
fibonacci 5,,,,,39439484.0,ns,11165
fibonacci 5,,,,,41887587.0,ns,11310
fibonacci 5,,,,,41986079.0,ns,11455
fibonacci 5,,,,,43324965.0,ns,11600
fibonacci 5,,,,,39039362.0,ns,11745
fibonacci 5,,,,,41942192.0,ns,11890
fibonacci 5,,,,,43828659.0,ns,12035
fibonacci 5,,,,,46682235.0,ns,12180
fibonacci 5,,,,,43768297.0,ns,12325
fibonacci 5,,,,,42887733.0,ns,12470
fibonacci 5,,,,,43591309.0,ns,12615
fibonacci 5,,,,,48753811.0,ns,12760
fibonacci 5,,,,,47486957.0,ns,12905
fibonacci 5,,,,,48129958.0,ns,13050
fibonacci 5,,,,,47244247.0,ns,13195
fibonacci 5,,,,,50780519.0,ns,13340
fibonacci 5,,,,,50923596.0,ns,13485
fibonacci 5,,,,,49766779.0,ns,13630
fibonacci 5,,,,,51016143.0,ns,13775
fibonacci 5,,,,,52760788.0,ns,13920
fibonacci 5,,,,,52394856.0,ns,14065
fibonacci 5,,,,,52980609.0,ns,14210
fibonacci 5,,,,,53358162.0,ns,14355
fibonacci 5,,,,,54667574.0,ns,14500
