group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fibonacci 5,,,,,919005.0,ns,274
fibonacci 5,,,,,1785818.0,ns,548
fibonacci 5,,,,,2553816.0,ns,822
fibonacci 5,,,,,3358483.0,ns,1096
fibonacci 5,,,,,5849270.0,ns,1370
fibonacci 5,,,,,6226580.0,ns,1644
fibonacci 5,,,,,6498048.0,ns,1918
fibonacci 5,,,,,7737634.0,ns,2192
fibonacci 5,,,,,7883473.0,ns,2466
fibonacci 5,,,,,10167024.0,ns,2740
fibonacci 5,,,,,11104021.0,ns,3014
fibonacci 5,,,,,11427788.0,ns,3288
fibonacci 5,,,,,11851742.0,ns,3562
fibonacci 5,,,,,15593609.0,ns,3836
fibonacci 5,,,,,18732358.0,ns,4110
fibonacci 5,,,,,15558223.0,ns,4384
fibonacci 5,,,,,16236467.0,ns,4658
fibonacci 5,,,,,18139574.0,ns,4932
fibonacci 5,,,,,19164290.0,ns,5206
fibonacci 5,,,,,18414695.0,ns,5480
fibonacci 5,,,,,21177941.0,ns,5754
fibonacci 5,,,,,23363453.0,ns,6028
fibonacci 5,,,,,22874817.0,ns,6302
fibonacci 5,,,,,27644371.0,ns,6576
fibonacci 5,,,,,24757175.0,ns,6850
fibonacci 5,,,,,24358466.0,ns,7124
fibonacci 5,,,,,24203781.0,ns,7398
fibonacci 5,,,,,28272953.0,ns,7672
fibonacci 5,,,,,28169235.0,ns,7946
fibonacci 5,,,,,27808678.0,ns,8220
fibonacci 5,,,,,29709817.0,ns,8494
fibonacci 5,,,,,32215094.0,ns,8768
fibonacci 5,,,,,29905268.0,ns,9042
fibonacci 5,,,,,31261214.0,ns,9316
fibonacci 5,,,,,33545482.0,ns,9590
fibonacci 5,,,,,33438449.0,ns,9864
fibonacci 5,,,,,41409104.0,ns,10138
fibonacci 5,,,,,37677715.0,ns,10412
fibonacci 5,,,,,38473102.0,ns,10686
fibonacci 5,,,,,40129153.0,ns,10960
fibonacci 5,,,,,39775740.0,ns,11234
fibonacci 5,,,,,38211117.0,ns,11508
fibonacci 5,,,,,40902677.0,ns,11782
fibonacci 5,,,,,47415256.0,ns,12056
fibonacci 5,,,,,47477788.0,ns,12330
fibonacci 5,,,,,52399356.0,ns,12604
fibonacci 5,,,,,45036664.0,ns,12878
fibonacci 5,,,,,47147446.0,ns,13152
fibonacci 5,,,,,46441944.0,ns,13426
fibonacci 5,,,,,49139792.0,ns,13700
fibonacci 5,,,,,48953757.0,ns,13974
fibonacci 5,,,,,51974606.0,ns,14248
fibonacci 5,,,,,52324440.0,ns,14522
fibonacci 5,,,,,55222687.0,ns,14796
fibonacci 5,,,,,55147565.0,ns,15070
fibonacci 5,,,,,57822660.0,ns,15344
fibonacci 5,,,,,59671070.0,ns,15618
fibonacci 5,,,,,64361139.0,ns,15892
fibonacci 5,,,,,88554466.0,ns,16166
fibonacci 5,,,,,73706676.0,ns,16440
fibonacci 5,,,,,71688558.0,ns,16714
fibonacci 5,,,,,60226949.0,ns,16988
fibonacci 5,,,,,60638550.0,ns,17262
fibonacci 5,,,,,62704718.0,ns,17536
fibonacci 5,,,,,61778849.0,ns,17810
fibonacci 5,,,,,64236471.0,ns,18084
fibonacci 5,,,,,65283253.0,ns,18358
fibonacci 5,,,,,63008884.0,ns,18632
fibonacci 5,,,,,65690336.0,ns,18906
fibonacci 5,,,,,64506261.0,ns,19180
fibonacci 5,,,,,66031947.0,ns,19454
fibonacci 5,,,,,67353511.0,ns,19728
fibonacci 5,,,,,68370495.0,ns,20002
fibonacci 5,,,,,67497907.0,ns,20276
fibonacci 5,,,,,69793582.0,ns,20550
fibonacci 5,,,,,70202419.0,ns,20824
fibonacci 5,,,,,72330853.0,ns,21098
fibonacci 5,,,,,72038056.0,ns,21372
fibonacci 5,,,,,73815777.0,ns,21646
fibonacci 5,,,,,74826762.0,ns,21920
fibonacci 5,,,,,76136911.0,ns,22194
fibonacci 5,,,,,77366914.0,ns,22468
fibonacci 5,,,,,79363008.0,ns,22742
fibonacci 5,,,,,77246785.0,ns,23016
fibonacci 5,,,,,78837513.0,ns,23290
fibonacci 5,,,,,80938349.0,ns,23564
fibonacci 5,,,,,80784275.0,ns,23838
fibonacci 5,,,,,81651553.0,ns,24112
fibonacci 5,,,,,83466575.0,ns,24386
fibonacci 5,,,,,86891419.0,ns,24660
fibonacci 5,,,,,84609430.0,ns,24934
fibonacci 5,,,,,87356355.0,ns,25208
fibonacci 5,,,,,91948964.0,ns,25482
fibonacci 5,,,,,95081225.0,ns,25756
fibonacci 5,,,,,89197870.0,ns,26030
fibonacci 5,,,,,90344116.0,ns,26304
fibonacci 5,,,,,94166187.0,ns,26578
fibonacci 5,,,,,91859676.0,ns,26852
fibonacci 5,,,,,94188803.0,ns,27126
fibonacci 5,,,,,94785902.0,ns,27400
